holiday_id,holiday_name,holiday_month,holiday_date,holiday_img,holiday_blurb,holiday_email,Good to Go,Needs Updating,New Holiday for Date
22,National Answer Your Cat's Questions Day,1,22,/static/media/holiday_images/1-january/1-22-national_answer_your_cats_questions_day.jpg,"National Answer Your Cat’s Questions Day is an annual holiday dedicated to understanding our furry feline friends. This day is devoted to pausing to contemplate what our cats may wonder about and attempting to answer to the best of our ability. It’s believed that this day was founded back in 2015, and has since gained popularity in many Cat Fancier clubs!","National Answer Your Cat's Questions Day celebrates the unique bond we share with our feline friends. On this day, we answer all of our curious cats' questions, no matter how silly they may be. From playing virtual chase or joining in a game of hide and seek, we show our cats just how much we care.",,,
25,Observe the Weather Day,1,25,/static/media/holiday_images/1-january/1-25-observe_the_weather_day.jpg,"Established to appreciate the beauty and science of meteorology, Observe the Weather Day also serves as an opportunity to raise awareness of the need to prepare for natural disasters. #ObserveTheWeatherDay","Observe the Weather Day encourages people to take the time to appreciate and observe the beauty of the weather. Enjoy cool breezes and sunsets, warm sunshine and rainbows, all with an appreciation for Mother Nature's awe-inspiring creations!",,,
26,International Green Juice Day,1,26,/static/media/holiday_images/1-january/1-26-international_green_juice_day.jpg,"International Green Juice Day is an annual celebration of the health benefits of green juice. It celebrates the nutritional powerhouse that green juice is to enrich lives and boost overall health. This day was started by the Green Juice Movement - a group dedicated to highlighting the importance of vegetables and fruits in everyone’s diet. Join in the celebration - grab a kale, celery, cucumber, and apple smoothie and cheers to a healthier you! #InternationalGreenJuiceDay","International Green Juice Day is a day to celebrate the health benefits and deliciousness of green juices. It's a day to fill up on leafy greens, veggie and fruit goodness, and supercharge your body with essential vitamins and minerals! Raise a glass on this special day and get ready to greenify your life!",,,
21,International Sweatpants Day,1,21,/static/media/holiday_images/1-january/1-21-international_sweatpants_day.jpg,"International Sweatpants Day is a day to celebrate the power of comfort. On International Sweatpants Day, which takes place annually, participants around the world wear sweatpants in celebration of leisure and relaxation. This fun and cheeky holiday was started in 2012 by the fashion company Gap.","International Sweatpants Day is an annual celebration of comfort and relaxation! It's a day to kick off your shoes, hang up your work clothes, and slip into a cozy pair of sweatpants! Enjoy a day of rest, relaxation, and lounging in your favorite sweatpants as you snuggle with friends and family.",,,
24,Talk Like A Grizzled Prospector Day,1,24,/static/media/holiday_images/1-january/1-24-talk_like_a_grizzled_prospector_day.jpg,"Talk Like A Grizzled Prospector Day celebrates the traditional slang used by 19th century prospectors. Participants adopt prospector lingo for a day, like ""big as a barn door"" or ""clean as a hound's tooth"", and have fun learning about this unique part of history.","Talk Like A Grizzled Prospector Day is the perfect excuse to let your inner silver-tongued prospector shine! Brush off your best 'yarrs' and 'yee-haws'as you explore the wild, wild west and sharpen up your conversations with gold-panning-style swagger.",,,
28,Pop Art Day,1,28,/static/media/holiday_images/1-january/1-28-pop_art_day.jpg,"Pop Art Day celebrates the 1950s art movement which embraced popular culture images like comic books, advertising, and celebrity portraits. It's a day to appreciate the vibrant colors and bold lines of the iconic art, and to remember artists like Andy Warhol and Roy Lichtenstein who were a major part of the movement.","Pop Art Day is a celebration of the iconic Pop Art movement of the 1950s and 60s. This special day honors the bold and vibrant Pop Art style that uses bright, primary colors to capture modern culture with irony and wit. Let’s revel in and appreciate this revolutionary movement which continues to remain influential today!",,,
34,Doggy Date Night,2,3,/static/media/holiday_images/2-february/2-3-doggy_date_night.jpg,"Doggy Date Night, a special occasion for pup parents to bring their beloved pets to the local park and socialize, is an event that has been enjoyed for years. Held in the park, the evening consists of fun activities for both humans and puppies to meet, mingle, and bond. Bring your pup to make friends, enjoy some treats and make lasting memories.","Doggy Date Night is the perfect night out for you and your pup! Spend the evening enjoying dinner, local vendors, activities, and more! Your furry friend will love the pup-specific activities, and you'll love sharing quality time with your pup and all the other doggos!",,,
37,Pay A Compliment Day,2,6,/static/media/holiday_images/2-february/2-6-pay_a_compliment_day.jpg,"Pay A Compliment Day encourages us to focus on positivity on this special day. Celebrated annually, the day was created in 1998 in Salinas, California by Debby Harold, a former teacher in the hopes of encouraging people to practice kindness, generosity, and appreciation. Take some time today to share simple compliments with everyone you encounter and make someone's day a bit brighter!","Pay A Compliment Day is an occasion to acknowledge and appreciate the significant people in one's life. On this day, take the time to tell those around you how much they mean to you! Spread kind words and show your friends and family how much you care with compliments to make their day a little brighter.",,,
29,National Corn Chip Day,1,29,/static/media/holiday_images/1-january/1-29-national_corn_chip_day.jpg,"National Corn Chip Day is a celebration of the salty, crunchy snack that is loved around the world. This holiday emerged in the 1940's with Fritos brand corn chips leading the way. Whether you prefer them with a dip or in a bowl of chili, take a moment to celebrate National Corn Chip Day!",National Corn Chip Day is an annual celebration of one of the world's favorite snacks! Celebrate by snacking on your favorite chips and indulging in some creative homemade recipes! Get together with friends and family for an all-out nacho party - there's no better way to mark the day!,,,
33,National Ukulele Day,2,2,/static/media/holiday_images/2-february/2-2-national_ukulele_day.jpg,"National Ukulele Day is an international holiday established in 2018 by James Hill, an A-list ukulele artist and his wife throughout the world. The mission is to inspire others to pick up the ukulele and enjoy playing music with friends. Join the thousands of ukulele players and celebrate the joy of music-making!","National Ukulele Day is an annual celebration of the instrument's fun, light-hearted sound. It's a day meant to gather people to play, teach, and learn about the little four-stringed instrument, honouring its colourful history. So whether or not you've ever picked up a ukulele, join us to be part of this musical celebration.",,,
36,World Nutella Day,2,5,/static/media/holiday_images/2-february/2-5-world_nutella_day.jpg,"World Nutella Day celebrates the delicious hazelnut-chocolate spread. It was founded in 2007 by an American blogger determined to spread her love of Nutella, and is now celebrated with events, recipes, and parties all around the world! #WorldNutellaDay","World Nutella Day is a day to celebrate the beloved hazelnut spread! Every year on this day, people around the world unite to create and share delicious recipes, swap stories, and enjoy Nutella in all its messy glory. Make sure to take part in the celebrations this year and spread the Nutella love!",,,
31,Eat Brussels Sprouts Day,1,31,/static/media/holiday_images/1-january/1-31-eat_brussels_sprouts_day.jpg,"Eat Brussels Sprouts Day is a tribute to the vegetable with a long history. These bitter buds have been around since the 1200s, and for centuries have been enjoyed with a variety of tasty dishes. Join the festivities, indulge in your favorite Brussels sprout recipes, and don't forget to ""EAT BRUSSELS""!","Eat Brussels Sprouts Day is all about celebrating the delicious vegetable! It's the perfect excuse to cook a recipe featuring these nutrient-packed vegetables. Whether you prefer them roasted, sautéed, or even pan-fried, Brussels sprouts are tasty and can be enjoyed in any form! So embrace this unique holiday and chow down on some Brussels sprouts!",,,
43,National Plum Pudding Day,2,12,/static/media/holiday_images/2-february/2-12-national_plum_pudding_day.jpg,"Plum Pudding, or Christmas Pudding, is a traditional British dessert dating back to the 1400s, made of sweet dried fruits, nuts, spices, and alcohol. Enjoy with whipped cream or custard - and be sure to have a slice for good luck!","National Plum Pudding Day is a day to celebrate the classic dessert and enjoy a tasty treat. It's a great way to add some festivity to the holiday season - make plum pudding and enjoy it with family and friends! This day is a wonderful excuse to indulge in a delicious slice of the warm, spiced pudding with a dollop of cream or custard.",,,
45,International Book Giving Day,2,14,/static/media/holiday_images/2-february/2-14-international_book_giving_day.jpg,"International Book Giving Day celebrates the joy of giving books to those who need them most. It's a global event that recognizes the importance of reading and encourages people to donate books, both new and used, around the world. Started in 2012, this annual day has donated books to schools, libraries, and individuals in over 127 countries.","International Book Giving Day is a day to celebrate the joy of sharing books. Every year, people around the world come together to give and receive books that can help inspire, educate, and entertain. Join in the fun and spread the magic of books! #BookGivingDay",,,
39,Laugh and Get Rich Day,2,8,/static/media/holiday_images/2-february/2-8-laugh_and_get_rich_day.jpg,Celebrate the joy of laughter and show the wealth of happiness on Laugh and Get Rich Day! This holiday has roots in the 1980s when author and humorist Larry Wilde proposed sharing laughter as a way to honor the rich human experience. Embrace the contagiousness of laughter and inspire your community to do the same.,"Laugh and Get Rich Day is an annual event designed to bring together people from all backgrounds to enjoy an unforgettable day of fun and prosperity. Through laughter and entertainment, attendees will learn practical and effective financial strategies and tools to enhance their personal wealth. Join us for a day that will leave you feeling both richer and happier!",,,
40,National Pizza Day,2,9,/static/media/holiday_images/2-february/2-9-national_pizza_day.jpg,"Celebrate National Pizza Day on February 9th! This day has been celebrated since the early 1980s as a way to honor the iconic food from Italy. Whether you're a classic cheese fan, veggie enthusiast or an adventurous topping aficionado, everyone can enjoy this day for all things pizza!","It's National Pizza Day! Time to celebrate everyone's favorite cheesy, saucy, delicious dish. Enjoy all the different styles and toppings that make pizza a treat to savor. Grab a slice, or a whole pie, and share the pizza love.",,,
42,National Guitar Day,2,11,/static/media/holiday_images/2-february/2-11-national_guitar_day.jpg,"National Guitar Day is a day to celebrate the world's favorite musical instrument- the guitar! Created in 1996, it is an international celebration of everything related to the guitar, such as its history, music, and culture. Let's come together and honor the people who have made, continue to make, and listen to beautiful music made with the guitar.","National Guitar Day celebrates the guitar and its players – from amateur strummers to professional shredders! Today, join the music lovers from around the world in celebrating the many facets of guitar playing. Whether you're a lifelong fan or taking your first strum - you're part of the celebration!",,,
50,Tug of War Day,2,19,/static/media/holiday_images/2-february/2-19-tug_of_war_day.jpg,"Tug of War Day celebrates the beloved game of tug of war, believed to have originated with ancient Babylonian and Egyptian rope pulling contests. Enjoy this classic game to your heart's content, along with some friendly competition and an array of fun activities!","Tug of War Day is a day to celebrate and compete in the classic game of strength and skill. Held annually, Tug of War Day is a spirited competition enjoyed by both young and old. Pulling against teammates, opponents, or even parents and teachers, it's sure to be fun for all!",,,
53,Walking the Dog Day,2,22,/static/media/holiday_images/2-february/2-22-walking_the_dog_day.jpg,Walking the Dog Day celebrates taking our furry friends for a stroll. It's an opportunity for pet owners to enjoy quality time with their dogs and enjoy the outdoors. It's also a way to remember a dog's importance and contribution in the lives of their owners and families.,"Walking the Dog Day is all about showing your furry friend some love! Spend the day getting outdoors with your pup—take them for a long walk, throw the frisbee in the park, or even just enjoy a snuggling session on the porch. Celebrate your BFF (best friend forever) and create new memories you'll both cherish.",,,
54,Curling is Cool Day,2,23,/static/media/holiday_images/2-february/2-23-curling_is_cool_day.jpg,"Celebrate the winter sport of curling with Curling is Cool Day! This national Canadian holiday takes place yearly and pays homage to the game's rich history. Established in 2013, the day acknowledges the various cultural communities that have added their unique flair to this beloved winter pastime. Join in and show your curling spirit!",Celebrate Curling is Cool Day! Join us to learn about one of the world's oldest and most beloved winter sports. Enjoy friendly competition while socializing with fellow fans as you learn the finer points of curling. Join us for an unforgettable experience!,,,
49,Thumb Appreciation Day,2,18,/static/media/holiday_images/2-february/2-18-thumb_appreciation_day.jpg,"Thumb Appreciation Day is a special day to celebrate the importance of thumbs! Celebrated annually, the day originally began as an internet movement to recognize thumbs for their extraordinary moments in history—modern technology, sign language, gesturing, and more! Get ready to give your thumbs a pat on the back!","Thumb Appreciation Day celebrates the importance of thumbs in our everyday lives! A day where we recognize the power of our thumbs to open doors, grasp objects, and type text messages. Let's appreciate our trusty thumbs and use them even more on this special day!",,,
52,National Sticky Bun Day,2,21,/static/media/holiday_images/2-february/2-21-national_sticky_bun_day.jpg,"Celebrate National Sticky Bun Day! A sweet and sticky sweet bun treat that dates back to the 1800s, sticky buns are both delicious and nostalgic. Enjoy one with a friend or treat yourself to this classic pastry.","Celebrate National Sticky Bun Day today! Enjoy a warm, gooey sticky bun topped with cinnamon, nuts, and icing--the perfect sweet treat to start your day. Bakers across the country will be serving up their own twists on this classic pastry. Get yours today!",,,
56,National Clam Chowder Day,2,25,/static/media/holiday_images/2-february/2-25-national_clam_chowder_day.jpg,"National Clam Chowder Day celebrates the creamy, comfort food dish enjoyed by many. The day celebrates the beloved chowder originating from the coasts of New England, which dates back to the 18th century. Each year, millions of Americans savor the flavors of this classic dish. So, join us on National Clam Chowder Day as we say cheers with a bowl of steaming, flavorful, and soulful clam chowder.","National Clam Chowder Day is a delightful holiday celebrated on this day to honour the classic chowder dish. Enjoy this creamy soup filled with clams, potatoes, and various herbs. Try your own version or head out to your favourite restaurant and savour the deliciousness.",,,
59,National Tooth Fairy Day,2,28,/static/media/holiday_images/2-february/2-28-national_tooth_fairy_day.jpg,"National Tooth Fairy Day is celebrated every year. A fun event that marks childhood milestones, it commemorates the practice of placing teeth under a pillow and finding a gift in the morning. This beloved tradition dates back centuries, but the modern iteration of leaving a coin for a tooth was made popular by Disney in 1950.","Celebrate National Tooth Fairy Day, honoring the magical creature that gives children a fun reason to keep their smile bright. The Tooth Fairy visits homes to take lost baby teeth and leaves surprises and gifts in return, making children's smiles twinkle and sparkle!",,,
62,International Rescue a Cat Day,3,2,/static/media/holiday_images/3-march/3-2-international_rescue_a_cat_day.jpg,"International Rescue a Cat Day is a day dedicated to saving the lives of cats in need. Founded in 2014, it encourages people around the world to adopt, spay/neuter, donate, and speak out about issues facing homeless cats. Every year, this special day helps give cats a chance for a better life. Let’s celebrate International Rescue a Cat Day and save more cats!","International Rescue a Cat Day is an annual event designed to raise awareness for cats needing homes. This special day encourages people to help homeless cats, either by adopting or volunteering at a local shelter. Together, we can make a difference in the lives of cats in need.",,,
63,If Pets Had Thumbs Day,3,3,/static/media/holiday_images/3-march/3-3-if_pets_had_thumbs_day.jpg,If Pets Had Thumbs Day celebrates the bonds between humans and animals. This international holiday celebrates the joys of pet ownership and encourages people to recognize the ways in which animals can improve our lives and even help us in everyday tasks. People share humorous stories of how their pets might benefit from having thumbs on this special day.,If Pets Had Thumbs Day celebrates the bond between humans and their furry friends. Let's take a day to imagine a world where our pets can talk to us and help with chores - with an extra special holiday touch. Today is sure to be an unforgettable occasion.,,,
58,International Polar Bear Day,2,27,/static/media/holiday_images/2-february/2-27-international_polar_bear_day.jpg,"International Polar Bear Day is celebrated every year to raise awareness about the importance of polar bear conservation. It was founded in 2015 by Polar Bears International, a nonprofit organization dedicated to the long-term survival of our planet's polar bears. The organization uses the day to promote positive action and dialogue about how to protect polar bear habitat and conserve the species.","International Polar Bear Day is a day dedicated to raising awareness about the threat of climate change to the global polar bear population. This day is used to encourage creative and effective solutions to reduce the threats posed to polar bears and their habitats, ensuring their continued survival. Say #SaveOurPolarBears!",,,
61,National Cold Cuts Day,3,1,/static/media/holiday_images/3-march/3-1-national_cold_cuts_day.jpg,"National Cold Cuts Day celebrates the delicious bounty of cold cut sandwiches. Started in the US in 2018, it's become an international event dedicated to honoring the many varieties of cold cuts. From ham and salami to bologna and pastrami, National Cold Cuts Day is a day to enjoy a classic sandwich.","National Cold Cuts Day is an annual event dedicated to delicious, versatile deli meat. Celebrate with your family and friends by enjoying a variety of your favorite sliced cold cuts including bologna, ham, roast beef, and turkey. Enjoy them in classic sandwiches, wraps, or side salads - the possibilities are endless!",,,
65,National Cheese Doodle Day,3,5,/static/media/holiday_images/3-march/3-5-national_cheese_doodle_day.jpg,"National Cheese Doodle Day is a day to celebrate the cheesy goodness of cheese doodles! Cheese doodles, a savory snack, were first invented by a quirky Brooklyn entrepreneur named Yellow Buccelato in 1948. Celebrate by indulging in the cheesy goodness!","Join millions of cheese-lovers around the world in celebrating National Cheese Doodle Day! Enjoy a delicious snack with friends and family or make it a solo adventure - whichever you choose, don’t forget to celebrate America’s favorite snack on National Cheese Doodle Day. #CheeseDoodleDay",,,
68,National Proofreading Day,3,8,/static/media/holiday_images/3-march/3-8-national_proofreading_day.jpg,"Celebrate National Proofreading Day! First celebrated in 2011, it encourages people to value the importance of proofreading special documents and to appreciate the craft of writing. It's a day to hone your editing skills so that your work can be read with clarity and precision!","National Proofreading Day is an annual event that celebrates the important skill of proofreading! Readers everywhere take the day to check for errors and refine their writing. This important practice ensures accuracy and professionalism, and National Proofreading Day encourages everyone to take a moment to ensure the best quality work.",,,
71,World Plumbing Day,3,11,/static/media/holiday_images/3-march/3-11-world_plumbing_day.jpg,"World Plumbing Day is celebrated on 11th March every year to recognize the important role plumbers play in keeping up the health and sanitation of our world. Established in 2010, this day also highlights the vital part plumbing plays in reducing water-related illnesses and promoting safe drinking water. #WorldPlumbingDay",World Plumbing Day is celebrated every year to raise awareness of the essential role plumbing and sanitation play in promoting health and wellbeing. It is also an opportunity to honor the international plumbing community and the work they do every day.,,,
72,International Fanny Pack Day,3,12,/static/media/holiday_images/3-march/3-12-international_fanny_pack_day.jpg,"Every year, people around the world take part in International Fanny Pack Day: a day dedicated to celebrating the popular and iconic accessory. In honor of this beloved bag, fans wear their coolest and most outrageous fanny packs to share their enthusiasm for the fashion staple. International Fanny Pack Day dates back to the 1970s, when the fanny pack first gained mainstream popularity.","International Fanny Pack Day is a celebration of a beloved accessory that has made a comeback in recent years. With a focus on unique designs, this day is a time to honor the fanny pack and its style and practicality. Celebrate by donning your favorite fanny pack and showing it off!",,,
67,National Cereal Day,3,7,/static/media/holiday_images/3-march/3-7-national_cereal_day.jpg,"Celebrate National Cereal Day! It's an annual recognition of this popular breakfast food and its colorful history. Enjoy a steaming bowl of your favorite cereal with all the fixings - warm milk, brown sugar, even fresh fruit - and indulge in a true breakfast classic.","National Cereal Day is a special day to celebrate breakfast's favorite food. Enjoy your favorite cereal with friends or family, and make sure to share it with your favorite furry friends too! Enjoy a refreshing bowl of cereal and celebrate this special day each year.",,,
70,International Day of Awesomeness,3,10,/static/media/holiday_images/3-march/3-10-international_day_of_awesomeness.jpg,"Celebrate the International Day of Awesomeness, an annual event of global fun and celebration that began in 2011. On March 19th, take a moment to appreciate something amazing in your life and spread good vibes worldwide. #IDoA #BeAwesome 🤩",International Day of Awesomeness is a day dedicated to celebrating the amazing people and things in our lives. It’s the perfect time to show appreciation to those around us and give thanks for everything we’re grateful for. Let’s make every day awesome! #InternationalDayOfAwesomeness,,,
74,National Potato Chip Day,3,14,/static/media/holiday_images/3-march/3-14-national_potato_chip_day.jpg,"National Potato Chip Day is every year! It honors the delicious snack food and its long, flavorful history. Potato chips were invented in 1853 by the chef George Crum, and have since become a beloved and popular snack in many countries around the world. Celebrate by indulging in some spicy or sour chips, or whatever your favorite flavor may be!","It's National Potato Chip Day! Celebrate with your favorite chips and dip – it's the perfect time to indulge in this iconic snack. Whether plain, ridged, cheesy or flavored, potato chips provide a salty, crunchy and delicious snack. Enjoy with your favorite sandwich, as part of an appetizer spread, or just straight from the bag – it's time to munch!",,,
78,Awkward Moments Day,3,18,/static/media/holiday_images/3-march/3-18-awkward_moments_day.jpg,"Awkward Moments Day is an international day of celebration - and embracing - those embarrassingly awkward situations of life! Established in 2002 by self-proclaimed ""professional klutz,"" Aaron Ackerman, this annual event encourages everyone to share their most awkward moments!","Awkward Moments Day is the day when everyone takes a break to celebrate moments that are embarrassingly awkward. From uncomfortable silences to accidental trips, it's a day to laugh and take the edge off of those embarrassing moments.",,,
80,International Day of Happiness,3,20,/static/media/holiday_images/3-march/3-20-international_day_of_happiness.jpg,"International Day of Happiness is a day held every year to recognize the importance of happiness in the lives of people around the world. The initiative began in 2013 as part of the UN Sustainable Development Solutions Network, with the purpose of encouraging citizens of all nations to foster well-being and create a more tolerant world.","International Day of Happiness is a day dedicated to the recognition and celebration of joy and contentment. It is a time to recognize the importance of mental and emotional health, and to find ways to spread the feelings of happiness in our own communities. So be sure to spread some cheer on this special day!",,,
81,National Fragrance Day,3,21,/static/media/holiday_images/3-march/3-21-national_fragrance_day.jpg,"Celebrate National Fragrance Day! First introduced in 2006, this special day is an opportunity to appreciate the diverse and complex world of perfumes & colognes. With a single spritz, a beautiful scent can instantly transport you to a special memory or place.","National Fragrance Day is celebrated every year and is a great opportunity to appreciate your favorite scent! Whether it's a floral, musky, earthy, or fruity aroma, take some time to explore and enjoy these aromas - your nose may just thank you!",,,
83,National Puppy Day,3,23,/static/media/holiday_images/3-march/3-23-national_puppy_day.jpg,"National Puppy Day celebrates the unconditional love of puppies! Founded in 2006, the annual event encourages adoption from shelters and recognizes responsible breeders. Show your pup some love - every day! #NationalPuppyDay","National Puppy Day is a day dedicated to celebrating the unconditional love that puppies bring to our lives. It is a day devoted to appreciating puppies, from fostering puppies in need of homes to taking puppy naps with beloved furry friends. Celebrate the joy and happiness puppies bring and give them the recognition they deserve!",,,
76,National Panda Day,3,16,/static/media/holiday_images/3-march/3-16-national_panda_day.jpg,"National Panda Day is an annual event celebrated to honor the beloved Giant Panda! Since its humble start in 2000, it has grown to be recognized by zoos and organizations all over the world. Celebrate by learning more about this iconic species and pledging to help protect and conserve wildlife!","Happy National Panda Day! Every year, these furry black and white bears get their due recognition (and lots of love). Spend the day celebrating these lovable creatures, and their efforts in conservation and other research—we owe them more than just a day of celebration!",,,
77,Campfire Girls Day,3,17,/static/media/holiday_images/3-march/3-17-campfire_girls_day.jpg,"Campfire Girls Day is a day to celebrate the legacy of the Girl Scouts. Since its founding in 1912, the organization has provided leadership, education and outdoors programs to millions of girls. The annual day commemorates the courage and spirit of the Campfire Girls, who have gone on to lead in all areas of society. Join the celebration and learn more about the legacy of the Campfire Girls.","Campfire Girls Day celebrates the tradition and spirit of the organization, dedicated to building strong female leaders through fun activities and outdoor exploration. It's a day to honor the campers, past and present, and spread joy and friendship.",,,
85,International Waffle Day,3,25,/static/media/holiday_images/3-march/3-25-international_waffle_day.jpg,"International Waffle Day is an annual celebration of the beloved breakfast treat, waffles! The tradition has been around since the 18th century, when Swedish people began serving waffles as part of a meal during Easter celebrations. Nowadays, people from all over the world still enjoy this delicious food and celebrate this special day.","International Waffle Day is today! On this day, people around the world enjoy and appreciate the delicious breakfast treat. From classic Belgian waffles to denser Scandinavian varieties, it's the perfect way to celebrate spring and indulge your sweet tooth. So grab a waffle and enjoy!",,,
